"","Type","Complexity","i_star_knowledge","Tsec","Question","Ex","Score"
"1","i_star","EASY","Begginer",31,"Q1","E1","2"
"2","radar_chart","EASY","Begginer",43,"Q3","E1","1"
"3","radar_chart","COMPLEX","Begginer",90,"Q2","E2","1"
"4","pareto_table","EASY","Begginer",128,"Q1","E2","0"
"5","radar_chart","EASY","Begginer",62,"Q1","E1","1"
"6","radar_chart","EASY","Begginer",92,"Q2","E1","1"
"7","i_star","COMPLEX","Begginer",50,"Q1","E3","2"
"8","pareto_table","EASY","Begginer",57,"Q3","E2","2"
"9","i_star","COMPLEX","Begginer",118,"Q2","E3","2"
"10","i_star","EASY","Begginer",115,"Q3","E1","0"
"11","radar_chart","COMPLEX","Begginer",72,"Q3","E2","1"
"12","pareto_table","COMPLEX","Begginer",144,"Q1","E4","0"
"13","pareto_table","COMPLEX","Begginer",159,"Q2","E4","0"
"14","i_star","EASY","Begginer",156,"Q2","E1","2"
"15","i_star","COMPLEX","Begginer",139,"Q3","E3","0"
"16","radar_chart","COMPLEX","Begginer",90,"Q1","E2","1"
"17","pareto_table","COMPLEX","Begginer",85,"Q3","E4","1"
"18","pareto_table","EASY","Begginer",52,"Q2","E2","1"
"19","radar_chart","EASY","Begginer",60,"Q1","E1","2"
"20","radar_chart","COMPLEX","Begginer",120,"Q3","E2","2"
"21","radar_chart","EASY","Begginer",60,"Q2","E1","0"
"22","i_star","EASY","Begginer",124,"Q1","E1","2"
"23","pareto_table","EASY","Begginer",52,"Q3","E2","0"
"24","pareto_table","COMPLEX","Begginer",93,"Q1","E4","0"
"25","radar_chart","EASY","Begginer",60,"Q3","E1","2"
"26","radar_chart","COMPLEX","Begginer",60,"Q1","E2","2"
"27","i_star","COMPLEX","Begginer",303,"Q2","E3","0"
"28","i_star","COMPLEX","Begginer",16,"Q3","E3","0"
"29","i_star","COMPLEX","Begginer",74,"Q1","E3","0"
"30","pareto_table","COMPLEX","Begginer",52,"Q2","E4","0"
"31","radar_chart","COMPLEX","Begginer",120,"Q2","E2","2"
"32","pareto_table","EASY","Begginer",15,"Q2","E2","1"
"33","i_star","EASY","Begginer",4,"Q3","E1","2"
"34","i_star","EASY","Begginer",39,"Q2","E1","0"
"35","pareto_table","COMPLEX","Begginer",83,"Q3","E4","0"
"36","pareto_table","EASY","Begginer",8,"Q1","E2","1"
"37","i_star","EASY","Begginer",120,"Q1","E1","2"
"38","radar_chart","EASY","Begginer",57,"Q3","E1","1"
"39","radar_chart","COMPLEX","Begginer",70,"Q2","E2","1"
"40","i_star","EASY","Begginer",60,"Q2","E1","2"
"41","pareto_table","COMPLEX","Begginer",77,"Q3","E4","2"
"42","i_star","COMPLEX","Begginer",281,"Q3","E3","0"
"43","radar_chart","COMPLEX","Begginer",17,"Q3","E2","0"
"44","i_star","COMPLEX","Begginer",187,"Q2","E3","0"
"45","radar_chart","COMPLEX","Begginer",50,"Q1","E2","1"
"46","radar_chart","EASY","Begginer",60,"Q1","E1","1"
"47","i_star","COMPLEX","Begginer",75,"Q1","E3","2"
"48","pareto_table","COMPLEX","Begginer",97,"Q2","E4","0"
"49","i_star","EASY","Begginer",360,"Q3","E1","0"
"50","pareto_table","EASY","Begginer",60,"Q3","E2","2"
"51","radar_chart","EASY","Begginer",30,"Q2","E1","0"
"52","pareto_table","COMPLEX","Begginer",121,"Q1","E4","2"
"53","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"54","pareto_table","EASY","Begginer",60,"Q2","E2","2"
"55","pareto_table","EASY","Begginer",63,"Q3","E2","2"
"56","radar_chart","COMPLEX","Begginer",30,"Q1","E2","2"
"57","pareto_table","COMPLEX","Begginer",225,"Q1","E4","2"
"58","i_star","COMPLEX","Begginer",57,"Q2","E3","0"
"59","pareto_table","COMPLEX","Begginer",65,"Q2","E4","2"
"60","radar_chart","COMPLEX","Begginer",115,"Q3","E2","0"
"61","i_star","EASY","Begginer",54,"Q2","E1","0"
"62","radar_chart","COMPLEX","Begginer",70,"Q2","E2","1"
"63","pareto_table","EASY","Begginer",45,"Q2","E2","2"
"64","i_star","COMPLEX","Begginer",30,"Q1","E3","0"
"65","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"66","radar_chart","EASY","Begginer",50,"Q3","E1","2"
"67","radar_chart","EASY","Begginer",115,"Q2","E1","0"
"68","i_star","COMPLEX","Begginer",122,"Q3","E3","0"
"69","i_star","EASY","Begginer",292,"Q3","E1","0"
"70","i_star","EASY","Begginer",7,"Q1","E1","2"
"71","radar_chart","EASY","Begginer",65,"Q1","E1","2"
"72","pareto_table","COMPLEX","Begginer",90,"Q3","E4","2"
"73","radar_chart","EASY","Begginer",54,"Q3","E1","1"
"74","pareto_table","EASY","Begginer",60,"Q3","E2","2"
"75","pareto_table","COMPLEX","Begginer",30,"Q3","E4","2"
"76","i_star","COMPLEX","Begginer",60,"Q3","E3","0"
"77","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"78","pareto_table","COMPLEX","Begginer",60,"Q2","E4","2"
"79","radar_chart","COMPLEX","Begginer",24,"Q1","E2","1"
"80","i_star","EASY","Begginer",120,"Q3","E1","2"
"81","i_star","COMPLEX","Begginer",60,"Q2","E3","0"
"82","i_star","EASY","Begginer",120,"Q2","E1","2"
"83","radar_chart","COMPLEX","Begginer",81,"Q3","E2","0"
"84","i_star","EASY","Begginer",180,"Q1","E1","2"
"85","pareto_table","EASY","Begginer",60,"Q2","E2","2"
"86","i_star","COMPLEX","Begginer",60,"Q1","E3","0"
"87","radar_chart","COMPLEX","Begginer",166,"Q2","E2","1"
"88","radar_chart","EASY","Begginer",46,"Q2","E1","1"
"89","pareto_table","COMPLEX","Begginer",55,"Q1","E4","2"
"90","radar_chart","EASY","Begginer",32,"Q1","E1","1"
"91","i_star","COMPLEX","Begginer",46,"Q3","E3","2"
"92","radar_chart","COMPLEX","Begginer",27,"Q3","E6","2"
"93","i_star","EASY","Begginer",37,"Q3","E1","1"
"94","pareto_table","EASY","Begginer",18,"Q3","E2","0"
"95","i_star","COMPLEX","Begginer",44,"Q1","E3","2"
"96","i_star","COMPLEX","Begginer",60,"Q2","E3","2"
"97","i_star","EASY","Begginer",156,"Q1","E1","1"
"98","i_star","EASY","Begginer",67,"Q2","E1","2"
"99","radar_chart","COMPLEX","Begginer",15,"Q1","E6","2"
"100","pareto_table","EASY","Begginer",63,"Q1","E2","0"
"101","pareto_table","COMPLEX","Begginer",153,"Q2","E4","0"
"102","pareto_table","COMPLEX","Begginer",57,"Q3","E4","1"
"103","radar_chart","EASY","Begginer",17,"Q2","E5","2"
"104","radar_chart","COMPLEX","Begginer",58,"Q2","E6","0"
"105","pareto_table","EASY","Begginer",84,"Q2","E2","1"
"106","radar_chart","EASY","Begginer",67,"Q3","E5","1"
"107","radar_chart","EASY","Begginer",56,"Q1","E5","1"
"108","pareto_table","COMPLEX","Begginer",180,"Q1","E4","1"
"109","pareto_table","EASY","Begginer",60,"Q2","E2","2"
"110","i_star","COMPLEX","Begginer",120,"Q1","E3","2"
"111","radar_chart","COMPLEX","Begginer",60,"Q3","E2","0"
"112","pareto_table","EASY","Begginer",60,"Q3","E2","2"
"113","radar_chart","EASY","Begginer",75,"Q3","E1","1"
"114","pareto_table","COMPLEX","Begginer",60,"Q3","E4","2"
"115","pareto_table","COMPLEX","Begginer",120,"Q2","E4","1"
"116","radar_chart","COMPLEX","Begginer",30,"Q1","E2","0"
"117","i_star","COMPLEX","Begginer",120,"Q3","E3","0"
"118","i_star","EASY","Begginer",60,"Q2","E1","2"
"119","i_star","EASY","Begginer",120,"Q1","E1","2"
"120","radar_chart","EASY","Begginer",115,"Q1","E1","1"
"121","pareto_table","COMPLEX","Begginer",180,"Q1","E4","2"
"122","radar_chart","COMPLEX","Begginer",40,"Q2","E2","0"
"123","i_star","COMPLEX","Begginer",180,"Q2","E3","0"
"124","i_star","EASY","Begginer",60,"Q3","E1","0"
"125","radar_chart","EASY","Begginer",75,"Q2","E1","0"
"126","pareto_table","EASY","Begginer",180,"Q1","E2","2"
"127","pareto_table","EASY","Begginer",116,"Q1","E2","2"
"128","pareto_table","COMPLEX","Begginer",214,"Q1","E4","2"
"129","i_star","EASY","Begginer",37,"Q1","E1","2"
"130","pareto_table","COMPLEX","Begginer",130,"Q2","E4","1"
"131","i_star","COMPLEX","Begginer",169,"Q3","E3","2"
"132","pareto_table","EASY","Begginer",35,"Q2","E2","2"
"133","pareto_table","EASY","Begginer",36,"Q3","E2","2"
"134","radar_chart","EASY","Begginer",92,"Q1","E1","2"
"135","radar_chart","EASY","Begginer",111,"Q2","E1","0"
"136","i_star","EASY","Begginer",395,"Q3","E1","0"
"137","radar_chart","COMPLEX","Begginer",100,"Q2","E2","1"
"138","i_star","COMPLEX","Begginer",141,"Q2","E3","0"
"139","radar_chart","COMPLEX","Begginer",75,"Q3","E2","0"
"140","radar_chart","COMPLEX","Begginer",49,"Q1","E2","2"
"141","i_star","EASY","Begginer",345,"Q2","E1","2"
"142","pareto_table","COMPLEX","Begginer",124,"Q3","E4","2"
"143","i_star","COMPLEX","Begginer",64,"Q1","E3","2"
"144","radar_chart","EASY","Begginer",208,"Q3","E1","2"
"145","i_star","EASY","Begginer",189,"Q2","E1","2"
"146","pareto_table","EASY","Begginer",55,"Q3","E2","2"
"147","i_star","COMPLEX","Begginer",59,"Q1","E3","2"
"148","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"149","radar_chart","COMPLEX","Begginer",100,"Q3","E2","1"
"150","radar_chart","EASY","Begginer",30,"Q3","E1","1"
"151","pareto_table","EASY","Begginer",85,"Q2","E2","2"
"152","radar_chart","EASY","Begginer",60,"Q2","E1","1"
"153","radar_chart","COMPLEX","Begginer",45,"Q2","E2","1"
"154","i_star","EASY","Begginer",55,"Q1","E1","2"
"155","i_star","COMPLEX","Begginer",153,"Q2","E3","0"
"156","radar_chart","COMPLEX","Begginer",60,"Q1","E2","1"
"157","i_star","EASY","Begginer",145,"Q3","E1","0"
"158","pareto_table","COMPLEX","Begginer",52,"Q1","E4","2"
"159","i_star","COMPLEX","Begginer",101,"Q3","E3","0"
"160","pareto_table","COMPLEX","Begginer",44,"Q3","E4","2"
"161","pareto_table","COMPLEX","Begginer",130,"Q2","E4","2"
"162","radar_chart","EASY","Begginer",60,"Q1","E1","1"
"163","pareto_table","COMPLEX","Begginer",135,"Q1","E4","2"
"164","i_star","COMPLEX","Begginer",200,"Q3","E3","2"
"165","radar_chart","COMPLEX","Begginer",50,"Q3","E2","2"
"166","radar_chart","COMPLEX","Begginer",95,"Q2","E2","2"
"167","radar_chart","EASY","Begginer",115,"Q2","E1","2"
"168","i_star","COMPLEX","Begginer",110,"Q2","E3","0"
"169","radar_chart","COMPLEX","Begginer",45,"Q1","E2","2"
"170","pareto_table","EASY","Begginer",50,"Q3","E2","2"
"171","radar_chart","EASY","Begginer",80,"Q3","E1","2"
"172","pareto_table","COMPLEX","Begginer",90,"Q2","E4","2"
"173","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"174","i_star","COMPLEX","Begginer",80,"Q1","E3","2"
"175","i_star","EASY","Begginer",210,"Q2","E1","2"
"176","i_star","EASY","Begginer",90,"Q1","E1","2"
"177","pareto_table","COMPLEX","Begginer",110,"Q3","E4","2"
"178","pareto_table","EASY","Begginer",45,"Q2","E2","2"
"179","i_star","EASY","Begginer",150,"Q3","E1","0"
"180","radar_chart","EASY","Begginer",55,"Q1","E1","2"
"181","pareto_table","COMPLEX","Begginer",86,"Q1","E4","1"
"182","i_star","EASY","Begginer",113,"Q2","E1","0"
"183","i_star","EASY","Begginer",67,"Q3","E1","0"
"184","radar_chart","COMPLEX","Begginer",67,"Q3","E2","0"
"185","radar_chart","COMPLEX","Begginer",72,"Q2","E2","0"
"186","i_star","COMPLEX","Begginer",66,"Q1","E3","2"
"187","pareto_table","EASY","Begginer",30,"Q3","E2","2"
"188","radar_chart","EASY","Begginer",60,"Q3","E1","2"
"189","i_star","EASY","Begginer",54,"Q1","E1","2"
"190","radar_chart","COMPLEX","Begginer",41,"Q1","E2","2"
"191","i_star","COMPLEX","Begginer",68,"Q2","E3","0"
"192","radar_chart","EASY","Begginer",35,"Q1","E1","2"
"193","radar_chart","EASY","Begginer",47,"Q2","E1","1"
"194","pareto_table","COMPLEX","Begginer",87,"Q3","E4","2"
"195","pareto_table","EASY","Begginer",180,"Q1","E2","1"
"196","i_star","COMPLEX","Begginer",63,"Q3","E3","0"
"197","pareto_table","EASY","Begginer",67,"Q2","E2","0"
"198","pareto_table","COMPLEX","Begginer",112,"Q2","E4","0"
"199","pareto_table","EASY","Begginer",68,"Q1","E2","1"
"200","radar_chart","EASY","Begginer",30,"Q3","E1","1"
"201","radar_chart","EASY","Begginer",60,"Q1","E1","2"
"202","radar_chart","EASY","Begginer",30,"Q2","E1","1"
"203","i_star","COMPLEX","Begginer",246,"Q3","E3","0"
"204","i_star","COMPLEX","Begginer",339,"Q2","E3","0"
"205","i_star","EASY","Begginer",401,"Q3","E1","0"
"206","pareto_table","COMPLEX","Begginer",46,"Q2","E4","2"
"207","i_star","COMPLEX","Begginer",190,"Q1","E3","0"
"208","i_star","EASY","Begginer",179,"Q2","E1","2"
"209","pareto_table","EASY","Begginer",36,"Q3","E2","2"
"210","pareto_table","EASY","Begginer",82,"Q2","E2","2"
"211","pareto_table","COMPLEX","Begginer",87,"Q1","E4","1"
"212","radar_chart","COMPLEX","Begginer",60,"Q3","E2","0"
"213","pareto_table","COMPLEX","Begginer",48,"Q3","E4","2"
"214","i_star","EASY","Begginer",104,"Q1","E1","2"
"215","radar_chart","COMPLEX","Begginer",60,"Q2","E2","0"
"216","radar_chart","COMPLEX","Begginer",60,"Q1","E2","2"
"217","i_star","COMPLEX","Begginer",172,"Q1","E3","2"
"218","pareto_table","COMPLEX","Begginer",58,"Q3","E4","2"
"219","radar_chart","EASY","Begginer",35,"Q3","E1","2"
"220","pareto_table","COMPLEX","Begginer",159,"Q2","E4","0"
"221","i_star","EASY","Begginer",107,"Q1","E1","2"
"222","pareto_table","EASY","Begginer",50,"Q2","E2","0"
"223","i_star","COMPLEX","Begginer",104,"Q3","E3","2"
"224","radar_chart","EASY","Begginer",43,"Q1","E1","2"
"225","i_star","EASY","Begginer",214,"Q3","E1","2"
"226","pareto_table","EASY","Begginer",120,"Q3","E2","1"
"227","pareto_table","COMPLEX","Begginer",129,"Q1","E4","2"
"228","radar_chart","COMPLEX","Begginer",95,"Q2","E2","2"
"229","radar_chart","EASY","Begginer",70,"Q2","E1","2"
"230","radar_chart","COMPLEX","Begginer",90,"Q3","E2","1"
"231","i_star","COMPLEX","Begginer",201,"Q2","E3","2"
"232","pareto_table","EASY","Begginer",129,"Q1","E2","2"
"233","i_star","EASY","Begginer",103,"Q2","E1","2"
"234","radar_chart","COMPLEX","Begginer",21,"Q1","E2","2"
"235","i_star","EASY","Begginer",305,"Q2","E1","2"
"236","radar_chart","EASY","Begginer",35,"Q1","E1","1"
"237","i_star","EASY","Begginer",83,"Q1","E1","2"
"238","radar_chart","EASY","Begginer",300,"Q3","E1","2"
"239","pareto_table","EASY","Begginer",47,"Q2","E2","2"
"240","pareto_table","COMPLEX","Begginer",55,"Q2","E4","2"
"241","radar_chart","COMPLEX","Begginer",167,"Q2","E2","0"
"242","radar_chart","COMPLEX","Begginer",95,"Q3","E2","1"
"243","pareto_table","EASY","Begginer",65,"Q3","E2","2"
"244","i_star","COMPLEX","Begginer",309,"Q2","E3","0"
"245","pareto_table","COMPLEX","Begginer",52,"Q1","E4","2"
"246","i_star","EASY","Begginer",164,"Q3","E1","0"
"247","radar_chart","EASY","Begginer",95,"Q2","E1","0"
"248","radar_chart","COMPLEX","Begginer",25,"Q1","E2","2"
"249","pareto_table","COMPLEX","Begginer",60,"Q3","E4","2"
"250","pareto_table","EASY","Begginer",144,"Q1","E2","2"
"251","i_star","COMPLEX","Begginer",221,"Q3","E3","0"
"252","i_star","COMPLEX","Begginer",197,"Q1","E3","1"
"253","pareto_table","COMPLEX","Begginer",60,"Q1","E4","2"
"254","radar_chart","EASY","Begginer",30,"Q1","E1","2"
"255","i_star","EASY","Begginer",240,"Q3","E1","0"
"256","i_star","EASY","Begginer",180,"Q2","E1","2"
"257","radar_chart","COMPLEX","Begginer",60,"Q2","E2","2"
"258","radar_chart","COMPLEX","Begginer",120,"Q3","E2","2"
"259","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"260","radar_chart","EASY","Begginer",36,"Q3","E1","2"
"261","pareto_table","EASY","Begginer",60,"Q3","E2","2"
"262","i_star","COMPLEX","Begginer",180,"Q3","E3","1"
"263","pareto_table","EASY","Begginer",60,"Q2","E2","2"
"264","radar_chart","COMPLEX","Begginer",30,"Q1","E2","2"
"265","i_star","COMPLEX","Begginer",240,"Q2","E3","1"
"266","i_star","COMPLEX","Begginer",240,"Q1","E3","1"
"267","i_star","EASY","Begginer",60,"Q1","E1","2"
"268","pareto_table","COMPLEX","Begginer",60,"Q2","E4","2"
"269","pareto_table","COMPLEX","Begginer",120,"Q3","E4","2"
"270","radar_chart","EASY","Begginer",140,"Q2","E1","0"
"271","radar_chart","EASY","Begginer",70,"Q2","E1","0"
"272","i_star","COMPLEX","Begginer",195,"Q3","E3","2"
"273","radar_chart","EASY","Begginer",35,"Q3","E1","2"
"274","radar_chart","COMPLEX","Begginer",134,"Q2","E2","1"
"275","i_star","EASY","Begginer",104,"Q2","E1","2"
"276","i_star","EASY","Begginer",409,"Q3","E1","2"
"277","i_star","EASY","Begginer",81,"Q1","E1","2"
"278","i_star","COMPLEX","Begginer",135,"Q2","E3","0"
"279","i_star","COMPLEX","Begginer",77,"Q1","E3","2"
"280","pareto_table","EASY","Begginer",48,"Q2","E2","2"
"281","radar_chart","COMPLEX","Begginer",72,"Q3","E2","0"
"282","pareto_table","EASY","Begginer",95,"Q1","E2","2"
"283","radar_chart","COMPLEX","Begginer",60,"Q1","E2","0"
"284","pareto_table","COMPLEX","Begginer",62,"Q2","E4","0"
"285","pareto_table","EASY","Begginer",50,"Q3","E2","2"
"286","pareto_table","COMPLEX","Begginer",123,"Q3","E4","2"
"287","radar_chart","EASY","Begginer",28,"Q1","E1","2"
"288","pareto_table","COMPLEX","Begginer",89,"Q1","E4","2"
"289","radar_chart","EASY","Begginer",42,"Q3","E1","2"
"290","i_star","COMPLEX","Begginer",70,"Q1","E3","0"
"291","i_star","EASY","Begginer",80,"Q1","E1","0"
"292","i_star","EASY","Begginer",119,"Q3","E1","0"
"293","pareto_table","COMPLEX","Begginer",105,"Q2","E4","0"
"294","pareto_table","EASY","Begginer",70,"Q2","E2","1"
"295","radar_chart","COMPLEX","Begginer",67,"Q2","E2","1"
"296","i_star","EASY","Begginer",94,"Q2","E1","2"
"297","pareto_table","EASY","Begginer",46,"Q3","E2","2"
"298","radar_chart","COMPLEX","Begginer",49,"Q1","E2","2"
"299","i_star","COMPLEX","Begginer",95,"Q2","E3","0"
"300","radar_chart","COMPLEX","Begginer",87,"Q3","E2","1"
"301","pareto_table","COMPLEX","Begginer",84,"Q3","E4","1"
"302","radar_chart","EASY","Begginer",46,"Q2","E1","2"
"303","pareto_table","EASY","Begginer",161,"Q1","E2","0"
"304","radar_chart","EASY","Begginer",18,"Q1","E1","2"
"305","i_star","COMPLEX","Begginer",170,"Q3","E3","0"
"306","pareto_table","COMPLEX","Begginer",135,"Q1","E4","0"
"307","radar_chart","EASY","Begginer",135,"Q2","E1","1"
"308","pareto_table","EASY","Begginer",63,"Q2","E2","2"
"309","i_star","COMPLEX","Begginer",297,"Q2","E3","0"
"310","pareto_table","COMPLEX","Begginer",120,"Q1","E4","2"
"311","radar_chart","EASY","Begginer",115,"Q3","E1","1"
"312","radar_chart","COMPLEX","Begginer",285,"Q3","E2","1"
"313","i_star","EASY","Begginer",430,"Q3","E1","0"
"314","radar_chart","COMPLEX","Begginer",100,"Q1","E2","1"
"315","radar_chart","EASY","Begginer",85,"Q1","E1","2"
"316","pareto_table","EASY","Begginer",57,"Q3","E2","1"
"317","radar_chart","COMPLEX","Begginer",155,"Q2","E2","1"
"318","pareto_table","EASY","Begginer",105,"Q1","E2","2"
"319","i_star","EASY","Begginer",33,"Q1","E1","2"
"320","pareto_table","COMPLEX","Begginer",138,"Q2","E4","2"
"321","pareto_table","COMPLEX","Begginer",135,"Q3","E4","2"
"322","i_star","COMPLEX","Begginer",40,"Q1","E3","2"
"323","i_star","COMPLEX","Begginer",223,"Q3","E3","2"
"324","i_star","EASY","Begginer",74,"Q2","E1","2"
"325","pareto_table","COMPLEX","Begginer",39,"Q3","E4","1"
"326","radar_chart","EASY","Begginer",30,"Q3","E5","2"
"327","pareto_table","EASY","Begginer",67,"Q1","E2","0"
"328","i_star","EASY","Begginer",17,"Q3","E1","1"
"329","radar_chart","COMPLEX","Begginer",118,"Q2","E6","2"
"330","i_star","COMPLEX","Begginer",8,"Q2","E3","1"
"331","i_star","COMPLEX","Begginer",182,"Q3","E3","2"
"332","pareto_table","COMPLEX","Begginer",75,"Q1","E4","0"
"333","pareto_table","COMPLEX","Begginer",111,"Q2","E4","1"
"334","i_star","EASY","Begginer",179,"Q2","E1","1"
"335","pareto_table","EASY","Begginer",23,"Q2","E2","0"
"336","radar_chart","COMPLEX","Begginer",82,"Q3","E6","2"
"337","radar_chart","COMPLEX","Begginer",69,"Q1","E6","2"
"338","i_star","EASY","Begginer",450,"Q1","E1","1"
"339","pareto_table","EASY","Begginer",10,"Q3","E2","0"
"340","radar_chart","EASY","Begginer",173,"Q1","E5","2"
"341","i_star","COMPLEX","Begginer",214,"Q1","E3","1"
"342","radar_chart","EASY","Begginer",75,"Q2","E5","2"
"343","i_star","COMPLEX","Expert",190,"Q3","E3","1"
"344","pareto_table","EASY","Expert",50,"Q2","E2","0"
"345","pareto_table","EASY","Expert",40,"Q3","E2","0"
"346","radar_chart","COMPLEX","Expert",60,"Q2","E6","2"
"347","i_star","EASY","Expert",70,"Q2","E1","2"
"348","pareto_table","COMPLEX","Expert",150,"Q2","E4","0"
"349","i_star","EASY","Expert",35,"Q1","E1","2"
"350","radar_chart","EASY","Expert",45,"Q3","E5","1"
"351","i_star","COMPLEX","Expert",35,"Q1","E3","1"
"352","pareto_table","COMPLEX","Expert",100,"Q3","E4","1"
"353","radar_chart","EASY","Expert",10,"Q1","E5","1"
"354","pareto_table","EASY","Expert",110,"Q1","E2","0"
"355","radar_chart","EASY","Expert",35,"Q2","E5","1"
"356","i_star","EASY","Expert",15,"Q3","E1","1"
"357","pareto_table","COMPLEX","Expert",105,"Q1","E4","0"
"358","i_star","COMPLEX","Expert",45,"Q2","E3","2"
"359","radar_chart","COMPLEX","Expert",40,"Q1","E6","2"
"360","radar_chart","COMPLEX","Expert",130,"Q3","E6","0"
"361","pareto_table","COMPLEX","Begginer",82,"Q1","E4","2"
"362","radar_chart","COMPLEX","Begginer",62,"Q1","E2","0"
"363","radar_chart","EASY","Begginer",133,"Q3","E1","0"
"364","pareto_table","EASY","Begginer",69,"Q2","E2","1"
"365","i_star","EASY","Begginer",218,"Q2","E1","2"
"366","pareto_table","EASY","Begginer",110,"Q3","E2","1"
"367","i_star","COMPLEX","Begginer",112,"Q2","E3","0"
"368","i_star","EASY","Begginer",51,"Q1","E1","2"
"369","radar_chart","COMPLEX","Begginer",156,"Q2","E2","0"
"370","radar_chart","EASY","Begginer",112,"Q1","E1","0"
"371","i_star","EASY","Begginer",298,"Q3","E1","0"
"372","pareto_table","COMPLEX","Begginer",169,"Q3","E4","1"
"373","pareto_table","EASY","Begginer",69,"Q1","E2","2"
"374","radar_chart","COMPLEX","Begginer",47,"Q3","E2","0"
"375","i_star","COMPLEX","Begginer",50,"Q1","E3","2"
"376","i_star","COMPLEX","Begginer",306,"Q3","E3","0"
"377","pareto_table","COMPLEX","Begginer",122,"Q2","E4","2"
"378","radar_chart","COMPLEX","Begginer",60,"Q2","E2","0"
"379","i_star","EASY","Begginer",103,"Q1","E1","2"
"380","pareto_table","COMPLEX","Begginer",52,"Q1","E4","2"
"381","i_star","COMPLEX","Begginer",13,"Q1","E3","0"
"382","i_star","EASY","Begginer",95,"Q3","E1","0"
"383","radar_chart","COMPLEX","Begginer",60,"Q3","E2","1"
"384","radar_chart","EASY","Begginer",120,"Q3","E1","1"
"385","i_star","EASY","Begginer",135,"Q2","E1","2"
"386","radar_chart","COMPLEX","Begginer",60,"Q1","E2","1"
"387","radar_chart","EASY","Begginer",60,"Q2","E1","1"
"388","i_star","COMPLEX","Begginer",55,"Q2","E3","0"
"389","radar_chart","EASY","Begginer",60,"Q1","E1","0"
"390","i_star","COMPLEX","Begginer",175,"Q3","E3","0"
"391","pareto_table","EASY","Begginer",237,"Q1","E2","2"
"392","pareto_table","EASY","Begginer",25,"Q3","E2","1"
"393","pareto_table","COMPLEX","Begginer",105,"Q3","E4","2"
"394","pareto_table","EASY","Begginer",23,"Q2","E2","2"
"395","pareto_table","COMPLEX","Begginer",70,"Q2","E4","2"
